instruction,count,true_0,pred_0,true_1,pred_1,accuracy,precision,recall,f1_score,epoch 
25,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
26,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
27,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
28,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
29,20.0,18.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0,17
30,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
31,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
32,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
33,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
34,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
35,20.0,18.0,20.0,2.0,0.0,0.9,,0.0,,17
36,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
37,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
38,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
39,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
40,20.0,18.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0,17
41,20.0,17.0,18.0,3.0,2.0,0.95,1.0,0.67,0.8,17
42,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
43,20.0,15.0,16.0,5.0,4.0,0.95,1.0,0.8,0.89,17
44,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
45,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
46,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
47,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
48,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
49,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,17
50,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
51,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
52,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
53,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
54,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
55,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
56,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
57,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
58,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
59,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
60,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
61,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
62,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
63,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
64,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
65,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
66,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
67,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
68,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
69,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
70,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
71,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
72,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
73,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
74,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
75,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
76,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
77,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
78,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
79,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
80,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,17
81,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
82,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
83,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
84,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
85,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
86,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
87,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
88,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
89,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
90,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,17
91,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
92,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
93,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
94,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
95,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
96,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
97,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
98,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
99,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
100,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
101,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
102,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
103,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
104,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
105,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
106,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
107,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
108,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
109,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
110,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
111,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
112,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
113,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
114,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
115,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
116,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
117,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
118,20.0,19.0,20.0,1.0,0.0,0.95,,0.0,,17
119,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
120,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
121,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
122,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
123,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
124,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
125,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
126,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
127,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
128,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
129,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
130,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,17
131,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
132,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
193,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
199,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
206,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
212,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
215,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
224,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
226,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
227,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
228,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
239,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
241,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
244,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
248,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
250,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
255,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
258,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
260,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
278,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
282,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
284,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
285,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
287,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
291,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
292,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
294,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
295,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
296,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
297,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
298,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
299,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
300,20.0,20.0,20.0,0.0,0.0,1.0,,,,17
model,20.0,19.48,19.53,0.52,0.47,0.99,0.18,0.18,0.18,17
0,20.0,9.0,11.0,11.0,9.0,0.9,1.0,0.82,0.9,18
1,20.0,10.0,13.0,10.0,7.0,0.85,1.0,0.7,0.82,18
2,20.0,17.0,16.0,3.0,4.0,0.95,0.75,1.0,0.86,18
3,20.0,13.0,13.0,7.0,7.0,1.0,1.0,1.0,1.0,18
4,20.0,17.0,16.0,3.0,4.0,0.95,0.75,1.0,0.86,18
5,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
6,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
7,20.0,17.0,17.0,3.0,3.0,1.0,1.0,1.0,1.0,18
8,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
9,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
10,20.0,10.0,11.0,10.0,9.0,0.95,1.0,0.9,0.95,18
11,20.0,18.0,18.0,2.0,2.0,0.9,0.5,0.5,0.5,18
12,20.0,18.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0,18
13,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
14,20.0,15.0,15.0,5.0,5.0,1.0,1.0,1.0,1.0,18
15,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
16,20.0,17.0,16.0,3.0,4.0,0.95,0.75,1.0,0.86,18
17,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
18,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
19,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
20,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
21,20.0,18.0,17.0,2.0,3.0,0.95,0.67,1.0,0.8,18
22,20.0,18.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0,18
23,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
24,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,18
25,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,18
26,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
27,20.0,19.0,17.0,1.0,3.0,0.9,0.33,1.0,0.5,18
28,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
29,20.0,19.0,20.0,1.0,0.0,0.95,,0.0,,18
30,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
31,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
32,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
33,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
34,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
35,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
36,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,18
37,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
38,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
39,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
40,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
41,20.0,18.0,17.0,2.0,3.0,0.95,0.67,1.0,0.8,18
42,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
43,20.0,18.0,16.0,2.0,4.0,0.9,0.5,1.0,0.67,18
44,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
45,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
46,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,18
47,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
48,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
49,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
50,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
51,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
52,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
53,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
54,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
55,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
56,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
57,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
58,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
59,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
60,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
61,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
62,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
63,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
64,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
65,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
66,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
67,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
68,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
69,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
70,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
71,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
72,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
73,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
74,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
75,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
76,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
77,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
78,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
79,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
80,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,18
81,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,18
82,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
83,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
84,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
85,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
86,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
87,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
88,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
89,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
90,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
91,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
92,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
93,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
94,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
95,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
96,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
97,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
98,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
99,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
100,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
101,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
102,20.0,19.0,20.0,1.0,0.0,0.95,,0.0,,18
103,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
104,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
105,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
106,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
107,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
108,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
109,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
110,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
111,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
112,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
113,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
114,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
115,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
116,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
117,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
118,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
119,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
120,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
121,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
122,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
123,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
124,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
125,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
126,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
127,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
128,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
129,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
130,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
131,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
132,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
193,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
199,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
206,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
209,17.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,18
212,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
215,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
224,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
226,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
227,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
228,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
239,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
241,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
244,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
248,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,18
250,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
255,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
258,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
260,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
278,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
282,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
284,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
285,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
287,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
291,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
292,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
294,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
295,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
296,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
297,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
298,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
299,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,18
300,20.0,20.0,20.0,0.0,0.0,1.0,,,,18
model,19.98,19.44,19.24,0.55,0.75,0.98,0.18,0.21,0.19,18
0,20.0,11.0,13.0,9.0,7.0,0.9,1.0,0.78,0.88,19
1,20.0,14.0,15.0,6.0,5.0,0.95,1.0,0.83,0.91,19
2,20.0,15.0,16.0,5.0,4.0,0.95,1.0,0.8,0.89,19
3,20.0,9.0,10.0,11.0,10.0,0.95,1.0,0.91,0.95,19
4,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
5,20.0,18.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0,19
6,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
7,20.0,15.0,15.0,5.0,5.0,1.0,1.0,1.0,1.0,19
8,20.0,18.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0,19
9,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
10,20.0,7.0,12.0,13.0,8.0,0.75,1.0,0.62,0.76,19
11,20.0,13.0,13.0,7.0,7.0,0.9,0.86,0.86,0.86,19
12,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
13,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
14,20.0,17.0,16.0,3.0,4.0,0.95,0.75,1.0,0.86,19
15,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
16,20.0,18.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0,19
17,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
18,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
19,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,19
20,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
21,20.0,18.0,17.0,2.0,3.0,0.95,0.67,1.0,0.8,19
22,20.0,15.0,15.0,5.0,5.0,1.0,1.0,1.0,1.0,19
23,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
24,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
25,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
26,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
27,20.0,18.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0,19
28,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
29,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
30,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
31,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
32,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
33,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
34,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
35,20.0,18.0,19.0,2.0,1.0,0.85,0.0,0.0,0.0,19
36,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
37,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
38,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
39,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
40,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
41,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
42,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
43,20.0,17.0,16.0,3.0,4.0,0.95,0.75,1.0,0.86,19
44,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
45,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
46,20.0,18.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0,19
47,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
48,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
49,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
50,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
51,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
52,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
53,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
54,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
55,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
56,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
57,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
58,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
59,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
60,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
61,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
62,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
63,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
64,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
65,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
66,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
67,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
68,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
69,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
70,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
71,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
72,20.0,17.0,16.0,3.0,4.0,0.95,0.75,1.0,0.86,19
73,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
74,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
75,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
76,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
77,20.0,17.0,17.0,3.0,3.0,1.0,1.0,1.0,1.0,19
78,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
79,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
80,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
81,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
82,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
83,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
84,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
85,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
86,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
87,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
88,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
89,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
90,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
91,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
92,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,19
93,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
94,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
95,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
96,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
97,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
98,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
99,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
100,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
101,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
102,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
103,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
104,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
105,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
106,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,19
107,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
108,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
109,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
110,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
111,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
112,20.0,20.0,20.0,0.0,0.0,1.0,,,,19
